Title,Authors,Year,Journal,Language,CitedByCount,Affiliation,Predicted Subject Area
The constructionalization and constructional change of noncanonical V-NP expressions in Mandarin Chinese,Li Y.,2018,Studies in Language,Unknown Language,1,Zhejiang Normal University,"ARTS, SOCI"
Making the Animals on the Plate Visible: Anglophone Celebrity Chef Cookbooks Ranked by Sentient Animal Deaths,Lamey A.,2018,Food Ethics,Unknown Language,1,"University of California, San Diego","AGRI, ARTS, SOCI, VETE"
The translator's ethics: Visible or invisible; culpable or innocent; conscious or unconscious,García J.O.,2018,Babel,Unknown Language,3,Universidad Autónoma de Madrid,"ARTS, SOCI"
Pisa and Pirls: The effects of culture and school environment,Soh K.,2018,Pisa And Pirls: The Effects Of Culture And School Environment,Unknown Language,1,The University of Manchester,ENVI
Weaving the common threads of simulation and formation studies in archaeology,Davies B.,2018,CAA2016: Oceans of Data Proceedings of the 44th Conference on Computer Applications and Quantitative Methods in Archaeology,Unknown Language,1,The University of Auckland,COMP
Theorising the digital: A call to action for the archaeological community,Perry S.,2018,CAA2016: Oceans of Data Proceedings of the 44th Conference on Computer Applications and Quantitative Methods in Archaeology,Unknown Language,24,University of York,COMP
"From survey, to 3D modelling, to 3D printing: Bramante's Nymphaeum Colonna at Genazzano",Empler T.,2018,CAA2016: Oceans of Data Proceedings of the 44th Conference on Computer Applications and Quantitative Methods in Archaeology,Unknown Language,0,Sapienza Università di Roma,COMP
A virtual reconstruction of the Sun Temple of Niuserra: From scans to ABIM,Bosco A.,2018,CAA2016: Oceans of Data Proceedings of the 44th Conference on Computer Applications and Quantitative Methods in Archaeology,Unknown Language,5,Università degli Studi di Salerno,COMP
Les gestes retrouves: A 3D visualization approach to the functional study of early upper palaeolithic ground stones,Longo L.,2018,CAA2016: Oceans of Data Proceedings of the 44th Conference on Computer Applications and Quantitative Methods in Archaeology,Unknown Language,5,"School of Art, Design and Media",COMP
Sculptures in the semantic web using semantic technologies for the deep integration of research items in ARIADNE,Gerth P.,2018,CAA2016: Oceans of Data Proceedings of the 44th Conference on Computer Applications and Quantitative Methods in Archaeology,Unknown Language,0,Deutsches Archäologisches Institut,COMP
New actualities for mediterranean ancient theaters: The ATHENA project lesson,Bianchini C.,2018,CAA2016: Oceans of Data Proceedings of the 44th Conference on Computer Applications and Quantitative Methods in Archaeology,Unknown Language,0,Sapienza Università di Roma,COMP
Narrating the real story: The significance of communication and report writing in social work,Moloto G.M.,2018,"Issues Around Aligning Theory, Research and Practice in Social Work Education",Unknown Language,0,North West Provincial Social Work Veterans Organization,SOCI
Social work with transnational migrant children in South Africa,Warria A.,2018,"Issues Around Aligning Theory, Research and Practice in Social Work Education",Unknown Language,0,"University of the Witwatersrand, Johannesburg","MEDI, SOCI"
"Culture, stories and narratives in social work education",Lekganyane G.M.,2018,"Issues Around Aligning Theory, Research and Practice in Social Work Education",Unknown Language,0,University of Venda,SOCI
Introduction: Epistemology and theory framing for this volume,Masoga M.A.,2018,"Issues Around Aligning Theory, Research and Practice in Social Work Education",Unknown Language,1,University of Limpopo,SOCI
"Issues Around Aligning Theory, Research and Practice in Social Work Education",Shokane A.L.,2018,"Issues Around Aligning Theory, Research and Practice in Social Work Education",Unknown Language,1,University of Venda,SOCI
The typological change of motion expressions in Chinese revisited: Motion events in Old Chinese and its Modern Chinese translation,Shi W.,2018,Studies in Language,Unknown Language,8,Zhejiang University,"PHYS, SOCI"
Effects of organisational structure on social value: Mediating role of financial performance,Shafie N.A.,2018,Management and Accounting Review,Unknown Language,5,Universiti Teknologi MARA,"BUSI, ECON"
Parameters of the Transition from a Cultural to a Political Program by the Czech and Slovak Elites in the Mid-19th Century,Doubek V.,2018,Journal of Nationalism Memory and Language Politics,Unknown Language,0,Masaryk Institute and Archive of the Academy of Sciences of the Czech Republic,SOCI
Editorial: Reflections on Islamophobia in Central and Eastern Europe,Rosůlek P.,2018,Journal of Nationalism Memory and Language Politics,Unknown Language,1,University of West Bohemia,"ARTS, SOCI"
China’s language services as an emerging industry,Huifang L.,2018,Babel,Unknown Language,4,Translators Association of China (TAC),"ARTS, SOCI"
"Human impersonal pronouns in West Germanic: A questionnaire-based comparative study of Afrikaans, Dutch and English",Van Olmen D.,2018,Studies in Language,Unknown Language,5,"Department of Linguistics and English Language, Lancaster University","ARTS, SOCI"
Influence of soil macrofauna on soil organic carbon content,Szyszko-Podgórska K.,2018,Ochrona Srodowiska i Zasobow Naturalnych,Unknown Language,2,National Research Institute,"CHEM, ENVI"
"Contamination of bottom sediments by lead, zinc and cadmium in Rzeszow reservoir",Maj-Zajezierska K.,2018,Ochrona Srodowiska i Zasobow Naturalnych,Unknown Language,3,Politechnika Rzeszowska im. Ignacego Łukasiewicza,"EART, ENVI"
"Comparison of Fe, Zn, Mn, Cu, Cd and Pb concentration in spruce needles collected in the area of Gdansk and Gdynia in Northern Poland",Konieczyński P.,2018,Ochrona Srodowiska i Zasobow Naturalnych,Unknown Language,2,Gdanski Uniwersytet Medyczny,"CHEM, MEDI"
The importance of data collection for qualitative research in social work,Makofane M.D.M.,2018,"Issues Around Aligning Theory, Research and Practice in Social Work Education",Unknown Language,7,University of South Africa,SOCI
"Innovation in outcomes-based water quality policy: A case study from the Yahara watershed, Wisconsin, USA",Wardropper C.,2018,Case Studies in the Environment,Unknown Language,2,University of Idaho; University of Wisconsin-Madison,ENVI
"What drives environmental decisions in a contested, but loved, landscape?",Brower A.,2018,Case Studies in the Environment,Unknown Language,0,University of Canterbury,ENVI
"Learning the language of the river: Understanding indigenous water governance with o-pipon-na-piwin Cree nation, northern Manitoba, Canada",Kamal A.G.,2018,Case Studies in the Environment,Unknown Language,1,University of Manitoba,SOCI
Evaluating risk after a hazardous waste treatment plant released persistent organic pollutants. Part 2. Ecotoxicology and human health risk,Guidotti T.L.,2018,Case Studies in the Environment,Unknown Language,1,"University of Alberta, Faculty of Medicine and Dentistry; Occupational+Environmental Health and Medicine",ENVI
Community-centred infrastructure design process for resilience building in South African informal settlements: The “genius of space” solid waste and greywater infrastructure project,Hermanus L.,2018,Case Studies in the Environment,Unknown Language,2,University of Cape Town,ENVI
"Managing populations, diseases, and landowner perceptions of prairie dogs for black-footed ferret reintroduction",Casper A.M.A.,2018,Case Studies in the Environment,Unknown Language,0,Washington State University Pullman,ENVI
The American black duck: Three decades of science-based adaptive management,Ringelman K.M.,2018,Case Studies in the Environment,Unknown Language,2,LSU Agricultural Center,ENVI
"Growing gardens sustainability: Challenges and opportunities facing the strategic expansion of Anchorage, Alaska's community garden system",Donovan S.,2018,Case Studies in the Environment,Unknown Language,1,University of Alaska Anchorage,"ENVI, SOCI"
"Evaluating risk after a hazardous waste treatment plant released persistent organic pollutants: Part 3, Aboriginal health risk and impact",Guidotti T.L.,2018,Case Studies in the Environment,Unknown Language,0,"University of Alberta, Faculty of Medicine and Dentistry; Occupational+Environmental Health and Medicine",ENVI
The importance of plant-microbe interaction for the bioremediation of dyes and heavy metals,Dogra V.,2018,Phytobiont and Ecosystem Restitution,Unknown Language,2,Panjab University,ENVI
Nanobiotechnology approaches for crop protection,Rodríguez-Cutiño G.,2018,Phytobiont and Ecosystem Restitution,Unknown Language,3,Universidad Autónoma de Coahuila,"BIOC, MEDI"
Roles of plants and bacteria in bioremediation of petroleum in contaminated soils,Alemzadeh A.,2018,Phytobiont and Ecosystem Restitution,Unknown Language,0,Shiraz University,"AGRI, EART, ENER, ENVI"
"Water quality assessment and treatment of pharmaceutical industry wastewater: A case study of pharmacity Selaqui, Dehradun of Uttarakhand State, India",Gupta S.,2018,Phytobiont and Ecosystem Restitution,Unknown Language,3,Swami Rama Himalayan University,"ENVI, PHAR"
Seasonal variations and prevalence of some external parasites affecting freshwater fishes reared at upper Egypt,El-Seify M.A.,2018,Phytobiont and Ecosystem Restitution,Unknown Language,4,Faculty of Veteinary Medicine,"ENVI, IMMU, MEDI"
Rhizoremediation of azodyes by constructed wetland technology using Typha latifolia,Kumar A.A.,2018,Phytobiont and Ecosystem Restitution,Unknown Language,3,University of Kerala,"COMP, ENGI"
Does mycoremediation reduce the soil toxicant?,Kumar M.,2018,Phytobiont and Ecosystem Restitution,Unknown Language,0,Aligarh Muslim University,"DECI, ENVI"
On relative complementizers and relative pronouns,Poletto C.,2018,Linguistic Variation,Unknown Language,9,Goethe-Universität Frankfurt am Main,SOCI
Glaucon’s Question Ignored Republic 519a-521b,Butler J.,2018,Akropolis,Unknown Language,0,Berea College,"MATE, PHAR"
Raising an athlete for christ: Saint john chrysostom and education in Byzantium,Christou T.M.,2018,Akropolis,Unknown Language,1,Queen’s University,SOCI
Using PLS-SEM to model Family Business Behavior when addressing the protocol,Zapatero M.R.,2018,European Journal of Family Business,Unknown Language,2,Universidad de Córdoba,"BUSI, ECON, SOCI"
Sources of greenhouse gas emissions from land reclamation development in Indonesia,Slamet N.S.,2018,Case Studies in the Environment,Unknown Language,1,"Ministry of Public Works, Jakarta; The University of Queensland",ENVI
Productivity effects of the ownership concentration in polish employee–owned companies,Matuszewska-Pierzynka A.,2018,Equilibrium. Quarterly Journal of Economics and Economic Policy,Unknown Language,4,University of Lodz,ECON
Nicknames among greeks of the archaic and classical periods: Preliminary thoughts of a general theoretical nature<sup>1</sup>,Surikov I.E.,2018,Akropolis,Unknown Language,2,Russian Academy of Sciences,"PHYS, AGRI"
Variation in wh-expressions asking for a reason,Endo Y.,2018,Linguistic Variation,Unknown Language,5,Kanda University of International Studies,SOCI
"Using a community vote for wind energy development decision-making in King Island, Tasmania",Colvin R.M.,2018,Case Studies in the Environment,Unknown Language,1,The Australian National University,"ENER, ENVI"
Sales range and innovative activity in the manufacturing system of poland,Świadek A.,2018,Equilibrium. Quarterly Journal of Economics and Economic Policy,Unknown Language,6,Uniwersytet Zielonogórski,ECON
New additions to the exotic flora of Chile,Calvo J.,2018,Darwiniana,Unknown Language,1,Pontificia Universidad Católica de Valparaíso,"EART, AGRI"
Trade interdependence between russia vs. The european union and china within the context of the competitiveness of the Russian economy,Falkowski K.,2018,Equilibrium. Quarterly Journal of Economics and Economic Policy,Unknown Language,4,Szkola Glówna Handlowa w Warszawie,"ECON, SOCI"
The impact of the diversification of revenues on ngos’ commercialization: Evidence from poland,Mikołajczak P.,2018,Equilibrium. Quarterly Journal of Economics and Economic Policy,Unknown Language,13,Poznań University of Economics and Business,ECON
Preface,Mollura D.J.,2018,"Radiology in Global Health: Strategies, Implementation, and Applications",Unknown Language,1,RAD-AID International,MEDI
Foreword,Hillman B.J.,2018,"Radiology in Global Health: Strategies, Implementation, and Applications",Unknown Language,0,University of Virginia,MEDI
Negation in San Juan Quiahije Chatino Sign language: The integration and adaptation of conventional gestures,Mesh K.,2018,Gesture,Unknown Language,20,Lunds Universitet,"ARTS, SOCI"
What the hands tell us about mathematical learning: A synthesis of gesture use in mathematics instruction,Martinez-Lincoln A.,2018,Gesture,Unknown Language,5,Vanderbilt University's Peabody College,"MATH, SOCI"
Economics of sustainable radiology in global health,Lexa F.J.,2018,"Radiology in Global Health: Strategies, Implementation, and Applications",Unknown Language,0,"American College of Radiology, Reston; University of Arizona College of Medicine – Tucson","ECON, MEDI"
Medical ethics in global health radiology,Averill S.L.,2018,"Radiology in Global Health: Strategies, Implementation, and Applications",Unknown Language,1,Iowa City VA Health Care System,"ARTS, MEDI"
Disaster response,Ebrahim F.,2018,"Radiology in Global Health: Strategies, Implementation, and Applications",Unknown Language,0,Toledo Radiological Associates,MEDI
Interventional procedures for global health radiology,Lessne M.L.,2018,"Radiology in Global Health: Strategies, Implementation, and Applications",Unknown Language,6,"Charlotte Radiology, PA; Johns Hopkins Medical Institutions",MEDI
"Radiology in global health: Strategies, implementation, and applications",Mollura D.J.,2018,"Radiology in Global Health: Strategies, Implementation, and Applications",Unknown Language,11,RAD-AID International,MEDI
The role of radiology in global health,Pitcher R.D.,2018,"Radiology in Global Health: Strategies, Implementation, and Applications",Unknown Language,5,"Stellenbosch University, Faculty of Medicine and Health Sciences",MEDI
Cardiovascular imaging in global health radiology,Michelis K.C.,2018,"Radiology in Global Health: Strategies, Implementation, and Applications",Unknown Language,2,Icahn School of Medicine at Mount Sinai,MEDI
Radiology overview: Defining radiology and stakeholders in the radiology enterprise,Soroosh G.P.,2018,"Radiology in Global Health: Strategies, Implementation, and Applications",Unknown Language,1,Johns Hopkins University School of Medicine,MEDI
Infectious disease imaging,Desai I.,2018,"Radiology in Global Health: Strategies, Implementation, and Applications",Unknown Language,1,"University of California, Los Angeles",MEDI
Cultural competency in global health,Du Pisanie L.,2018,"Radiology in Global Health: Strategies, Implementation, and Applications",Unknown Language,0,UNC School of Medicine,MEDI
Education in global health radiology,Culp M.P.,2018,"Radiology in Global Health: Strategies, Implementation, and Applications",Unknown Language,1,UNC School of Medicine; RAD-AID International,"MEDI, SOCI"
Pediatric imaging in global health radiology,Maxfield C.M.,2018,"Radiology in Global Health: Strategies, Implementation, and Applications",Unknown Language,1,Duke University Medical Center,MEDI
"Radiology readiness™, research, and relationship development",Azene E.M.,2018,"Radiology in Global Health: Strategies, Implementation, and Applications",Unknown Language,1,Gundersen Health System,MEDI
Medical imaging safety in global health radiology,Dobbins J.T.,2018,"Radiology in Global Health: Strategies, Implementation, and Applications",Unknown Language,2,Duke University School of Medicine,MEDI
"Medical imaging in global public health: Donation, procurement, installation, and maintenance",Malkin R.,2018,"Radiology in Global Health: Strategies, Implementation, and Applications",Unknown Language,5,Pratt School of Engineering,MEDI
Interprofessional collaboration in global health radiology,Shah J.,2018,"Radiology in Global Health: Strategies, Implementation, and Applications",Unknown Language,0,Emory University School of Medicine,MEDI
Maternal-fetal and women's imaging for global health radiology,Dowdy D.,2018,"Radiology in Global Health: Strategies, Implementation, and Applications",Unknown Language,0,Vanderbilt University School of Nursing; VUSON,MEDI
Women's imaging in global health radiology,Mullen L.A.,2018,"Radiology in Global Health: Strategies, Implementation, and Applications",Unknown Language,1,Johns Hopkins Medicine,MEDI
Access to imaging technology in global health,Morris M.A.,2018,"Radiology in Global Health: Strategies, Implementation, and Applications",Unknown Language,4,Baltimore VA Medical Center; Mercy Medical Center Baltimore; University of Maryland Medical Center,MEDI
Ultrasound in global health radiology,Hayes C.,2018,"Radiology in Global Health: Strategies, Implementation, and Applications",Unknown Language,2,RAD-AID International,MEDI
Public health and international epidemiology for radiology,Pongpirul K.,2018,"Radiology in Global Health: Strategies, Implementation, and Applications",Unknown Language,1,Chulalongkorn University; Bumrungrad International Hospital; Johns Hopkins Bloomberg School of Public Health,MEDI
Information technology in global health radiology,Kesselman A.,2018,"Radiology in Global Health: Strategies, Implementation, and Applications",Unknown Language,1,Weill Cornell Medicine,MEDI
"Phytoremediation for the elimination of metals, pesticides, PAHs, and other pollutants from wastewater and soil",Abdel-Shafy H.I.,2018,Phytobiont and Ecosystem Restitution,Unknown Language,53,National Research Centre,ENVI
"The monumental configuration of athenian temporality: Space, identity and mnemonic trajectories of the periklean building programme",Cassell B.S.,2018,Akropolis,Unknown Language,2,The Open University,SOCI
How do we measure up?:A review of Dutch clil subject pedagogies against an international backdrop,Kampen E.V.,2018,Dutch Journal of Applied Linguistics,Unknown Language,14,"Interfacultair Centrum voor Lerarenopleiding, Onderwijsontwikkeling en Nascholing","ARTS, SOCI"
Attitudinal factors and the intention to learn English in pre-vocational secondary bilingual and mainstream education,Denman J.,2018,Dutch Journal of Applied Linguistics,Unknown Language,6,Rotterdam University of Applied Sciences,"ARTS, SOCI"
Current research on CLIL and bilingual education in the Netherlands: A discussion,Rumlich D.,2018,Dutch Journal of Applied Linguistics,Unknown Language,2,Paderborn University,"ARTS, SOCI"
Beyond triadic communication: A three-dimensional conceptual space for modelling intersubjectivity,Van Duijn M.,2018,Pragmatics and Cognition,Unknown Language,4,Universiteit Leiden,SOCI
Inference from academic texts in children with autism,Engberg-Pedersen E.,2018,Pragmatics and Cognition,Unknown Language,0,Københavns Universitet,"MEDI, SOCI"
Studying characterization in Arthur Miller’s: The Crucible A cognitive stylistic analysis,Sheikh-Farshi S.,2018,Pragmatics and Cognition,Unknown Language,1,Ferdowsi University of Mashhad,"SOCI, ARTS"
Is up always good and down always bad? From linguistic to conceptual orientational metaphors in Arabic,Mohamed M.T.,2018,Pragmatics and Cognition,Unknown Language,2,The British University in Egypt,SOCI
The linguistic marking of coherence relations: Interactions between connectives and segment-internal elements,Hoek J.,2018,Pragmatics and Cognition,Unknown Language,16,The University of Edinburgh,SOCI
From justification to modulation: Similarities and differences of after all and datte,Otsu T.,2018,Pragmatics and Cognition,Unknown Language,0,Kyushu University,"SOCI, PSYC"
"Islamophobia without Muslims? The ""contact Hypothesis"" as an Explanation for Anti-Muslim Attitudes - Eastern European Societies in a Comparative Perspective",Pickel G.,2018,Journal of Nationalism Memory and Language Politics,Unknown Language,23,Universität Leipzig,SOCI
Influence of business support organizations on innovation activity in manufacturing companies in the masovian voivodeship in poland,Gorączkowska J.,2018,Equilibrium. Quarterly Journal of Economics and Economic Policy,Unknown Language,12,Uniwersytet Zielonogórski,"BUSI, ECON"
Language teaching and learning as a transdisciplinary endeavour: Multilingualism and epistemological diversity,Liddicoat A.J.,2018,AILA Review,Unknown Language,13,University of Warwick,"AGRI, SOCI"
Applied linguistics as epistemic assemblage,Pennycook A.,2018,AILA Review,Unknown Language,38,University of Technology Sydney,"ARTS, SOCI"
"User experience research and SoundCloud in Berlin: An interview with brian snead, senior user experience researcher at soundcloud",Bohm T.,2018,Information Design Journal,Unknown Language,0,SoundCloud Limited,"COMP, SOCI"
Editorial,Spinillo C.,2018,Information Design Journal,Unknown Language,0,Universidade Federal do Parana,"ENGI, SOCI"
User experience (UX) in health education apps: Interaction testing with physicians in a work context in Brazil,Junior E.,2018,Information Design Journal,Unknown Language,1,Universidade Federal do Maranhão,"MEDI, SOCI"
A study on the comprehension of graphic representations of architectural project designs by elderly users,De Oliveira Aquino I.,2018,Information Design Journal,Unknown Language,0,Universidade Ceuma (UNICEUMA),"ENGI, COMP"
How users find their way in hospitals: Contributions from a study on human information behaviour in wayfinding,Silva Smythe K.C.A.,2018,Information Design Journal,Unknown Language,0,Universidade Federal do Parana,"COMP, ECON"
"A discussion on the past, present and future of paper: An interview with Renée Yardley (senior vice-president sales and marketing for rolland papers) and robert mannix (creative papers director for antalis)",Bohm T.,2018,Information Design Journal,Unknown Language,0,Leicester,"BUSI, ENGI"
ComPasS: A personal organization mobile app for individuals with mental disorders,Da Silva A.C.B.V.,2018,Information Design Journal,Unknown Language,0,Universidade Federal do Parana,"COMP, MEDI"
Quantitative solid-phase assay to measure deoxynucleoside triphosphate pools,Landoni J.C.,2018,Biology Methods and Protocols,Unknown Language,8,Helsingin Yliopisto,BIOC
Bayesian claims reserving methods in non-life insurance with stan: An introduction,Gao G.,2018,Bayesian Claims Reserving Methods in Non-life Insurance with Stan: An Introduction,Unknown Language,5,Renmin University of China,"SOCI, BIOC"
Dietary Factors in Prevention of Pediatric Escherichia coli Infection: A Model Using Domestic Piglets,Liu Y.,2018,ILAR Journal,Unknown Language,3,"University of California, Davis",MEDI
Keeping the Engine Running: The Relevance and Predictive Value of Preclinical Models for CAR-T Cell Development,Migliorini D.,2018,ILAR Journal,Unknown Language,7,University of Pennsylvania Perelman School of Medicine; University Hospital; Parker Institute for Cancer Immunotherapy,"ENGI, MEDI"
INTRODUCTION: Immune Relevant Animal Models: Opportunities and Challenges,Jungersen G.,2018,ILAR Journal,Unknown Language,0,Technical University of Denmark,"MEDI, VETE"
Maternal-infant health policies in Brazil and Mexico,El Kotni M.,2018,Cahiers des Ameriques Latines,Unknown Language,2,State University of New York Albany,MEDI
"Surrogacy in Mexico: Homoparenthood, diversity and exclusion",Olavarría M.E.,2018,Cahiers des Ameriques Latines,Unknown Language,1,Universidad Autónoma Metropolitana,"AGRI, ENVI"
Introduction,Brugeilles C.,2018,Cahiers des Ameriques Latines,Unknown Language,0,Université Paris Nanterre,"SOCI, ENVI"
Candidacies without party in a democracy under construction: The civic committees in Guatemala (1985-2015),Rull M.,2018,Cahiers des Ameriques Latines,Unknown Language,0,"France, Amériques, Espagne – Sociétés, Pouvoirs, Acteurs",ENGI
Improving the efficiency of gene insertion in a human artificial chromosome vector and its transfer in human-induced pluripotent stem cells,Hasegawa Y.,2018,Biology Methods and Protocols,Unknown Language,14,Kazusa DNA Research Institute,BIOC
A highly sensitive trap vector system for isolating reporter cells and identification of responsive genes,Ishikawa K.,2018,Biology Methods and Protocols,Unknown Language,8,Japan Biological Informatics Consortium,BIOC
Regional Mobility and Spatial Inequality: Determinants of Spatial Labor Market Behavior Considering Firm- and Region-Specific Factors,Ganesch F.,2018,Raumforschung und Raumordnung,Unknown Language,7,Universität Bamberg,"ENGI, SOCI"
Open Hand Prone as a resource in multimodal claims to interruption Stopping a co-participant's turn-at-talk,Kamunen A.,2018,Gesture,Unknown Language,7,Oulun Yliopisto,"CHEM, MEDI"
Does seeing gesture lighten or increase the load? Effects of processing gesture on verbal and visuospatial cognitive load,Hostetter A.B.,2018,Gesture,Unknown Language,6,Kalamazoo College,"COMP, ENGI"
From touching to communicating forms of index finger use in the development of pointing,Kettner V.,2018,Gesture,Unknown Language,9,Simon Fraser University,"ECON, SOCI"
Recurrent gestures how the mental reflects the social,Mcneill D.,2018,Gesture,Unknown Language,10,The University of Chicago,SOCI
"Palaeoecological significance of trace fossils of Chorar Island, Eastern Kachchh Basin, Western India",Darngawn J.L.,2018,Journal of the Palaeontological Society of India,Unknown Language,3,The Maharaja Sayajirao University of Baroda,"EART, ENVI"
Shooting for perfection: Hawaii's goal of 100% renewable energy use,Solomon B.D.,2018,Case Studies in the Environment,Unknown Language,5,Michigan Technological University,"ENER, ENVI"
An extension of the theory of planned behavior towards brand equity and premium price,Abdullah M.I.,2018,Polish Journal of Management Studies,Unknown Language,22,COMSATS Institute of Information Technology Lahore,BUSI
Stratigraphic nomenclature of early palaeozoics in the spiti himalaya: Cobwebs cleared,Srikantia S.V.,2018,Journal of the Palaeontological Society of India,Unknown Language,21,Geological Society of India,SOCI
Harare's deteriorating wetlands: Why sound policies and legislations are not enough,Matamanda A.R.,2018,Case Studies in the Environment,Unknown Language,10,University of the Free State,"ECON, ENVI"
"Of Mice, Dogs, Pigs, and Men: Choosing the Appropriate Model for Immuno-Oncology Research",Overgaard N.H.,2018,ILAR Journal,Unknown Language,47,Technical University of Denmark,"MEDI, VETE"
Effects of complex salt treatment on physiological characteristics of flue-cured tobacco seedlings,Zhang X.,2018,Acta Tabacaria Sinica,Unknown Language,1,Henan Agricultural University,"BIOC, MEDI"
Effects of oral use tobacco products on pathogenes of oral diseases,Gao Q.,2018,Acta Tabacaria Sinica,Unknown Language,1,China Tobacco Yunnan Industrial Corporation,"DENT, MEDI"
Research progress of genomic analysis of Pseudomonas syringae pv. tabaci and differentiation of pathogenicity thereof,Cai X.,2018,Acta Tabacaria Sinica,Unknown Language,0,Hunan Agricultural University,"AGRI, BIOC"
Changes in chemical composition in leaves of low-nicotine tobacco resulted from grafting of tobacco with eggplant,Ren M.,2018,Acta Tabacaria Sinica,Unknown Language,5,National Tobacco Cultivation &amp; Physiology &amp; Biochemistry Research Center,CHEM
SSR marker-based genetic diversity analysis of tobacco germplasm and association analysis with resistance to bacterial wilt,Lai R.,2018,Acta Tabacaria Sinica,Unknown Language,3,Guangzhou University,MEDI
Determination of TiO<inf>2</inf> in cellulose acetate tow by continuous flow analysis,Fang Z.,2018,Acta Tabacaria Sinica,Unknown Language,0,"China Tobacco Fujian Industrial Co., Ltd.","ENGI, MATE"
Translators' competence profiles versus market demand,Krajcso Z.,2018,Babel,Unknown Language,9,Universität Wien,"ENGI, MEDI"
Deconstruction subtitled - Subtitling deconstructed,Mathiasen E.J.,2018,Babel,Unknown Language,2,Universidad Europea de Valencia,"SOCI, ARTS"
Inclusive and user-centered information design,Spinillo C.,2018,Information Design Journal,Unknown Language,0,Universidade Federal do Parana,ENGI
Present perfect or simple past?: The function of qad in English-into-Arabic translation,Farghal M.,2018,Babel,Unknown Language,4,Kuwait University,"ARTS, SOCI"
Analysis of graphic codes for colour representation: ColorADD and Feelipa Color Code in Portuguese companies,Iamaguti M.,2018,Information Design Journal,Unknown Language,0,"Universidade Estadual Paulista ""Júlio de Mesquita Filho""","COMP, ECON"
Developing tools to support patients and healthcare providers when in conversation about obesity: The 5As Team program,Noël G.,2018,Information Design Journal,Unknown Language,8,University of Alberta,MEDI
The impact of neglecting user-centered information design principles when delivering online information: Cyber security awareness websites as a case study,Dos Santos Lonsdale M.,2018,Information Design Journal,Unknown Language,5,University of Leeds,"SOCI, COMP"
HCI International Conference 2018,Da Silva C.,2018,Information Design Journal,Unknown Language,2,Universidade do Sul de Santa Catarina,COMP
Effectiveness of homologous Thai letterforms presented in parafoveal vision,Punsongserm R.,2018,Information Design Journal,Unknown Language,6,"Kyushu University, Graduate School of Design; Thammasat University",MEDI
Glimpses of a failed marriage: Autobiographical scenes of shame and revenge in Jamaica Kincaid's see now then,Brooks Bouson J.,2018,Contemporary Women's Writing,Unknown Language,2,Loyola University Chicago,"ARTS, SOCI"
"Girlhood, desire, memory, and Northern Ireland in lucy caldwell's short fiction",Garden A.,2018,Contemporary Women's Writing,Unknown Language,5,University College Dublin,"ARTS, SOCI"
Politics of class aesthetics: Rereading Agnes owens's novellas,Satayaban N.,2018,Contemporary Women's Writing,Unknown Language,0,Phetchaburi Rajabhat University,"ARTS, SOCI"
A pen against the paper grain: Interview with the Saudi writer Omaima al-Khamis,Alaki A.,2018,Contemporary Women's Writing,Unknown Language,0,Dar Al-Hekma University,"ARTS, SOCI"
Constructing historical justice discourse in lithuanian and russian press in lithuania: The case of holocaust,Marcinkevičius A.,2018,"Filosofija, Sociologija",Unknown Language,0,Lietuvos socialinių tyrimų centras,"ARTS, SOCI"
